,shows_id,episode_ids,id,url,name,type,language,status,runtime,averageRuntime,premiered,ended,officialSite,rating,weight,summary,updated
19,249,486,7847,https://www.tvmaze.com/shows/7847/po-sezonu-videodajdzest-seasonvar,По сезону. Видеодайджест Seasonvar,Talk Show,Russian,Running,9.0,9.0,2015-02-13,,http://seasonvar.ru/serial-11488-Po_sezonu_Videodajdzhest_Seasonvar.html,,55,"Weekly videodaydzhest on site seasonvar.ru and creative team viruseproject.tv. In ten minutes, we talk about the most important events of the past week: look down on the set is not yet published projects, sharing the secrets of private life actors consider the prospects for the development of genres and discuss news TV industry! In videodaydzheste you will find only reliable information from Russian and foreign publications, as well as take part in choosing the best show of the month! Our weekly news videodaydzhest will suit every viewer, so gather good company with family and friends, as well as stock up on popcorn - these ten minutes you shock, delight and inform the latest news about your favorite TV projects!",2022-06-02
20,186,329,8035,https://www.tvmaze.com/shows/8035/bettys-diagnose,Bettys Diagnose,Scripted,German,Running,45.0,48.0,2015-01-09,,https://www.zdf.de/serien/bettys-diagnose,,37,,2022-06-13
21,526,2081,9815,https://www.tvmaze.com/shows/9815/upstart-crow,Upstart Crow,Scripted,English,Ended,30.0,30.0,2016-05-09,2020-12-21,http://www.bbc.co.uk/programmes/b0959g26,7.6,79,Comedy about William Shakespeare as he starts to make a name for himself in London while also trying to be a good husband and father for his family in Stratford-upon-Avon.,2022-03-08
22,443,1307,10821,https://www.tvmaze.com/shows/10821/razbor-poletov,Разбор полётов,Game Show,Russian,Running,55.0,59.0,2014-01-16,,http://stopgame.ru/razbor/new,,22,,2022-06-15
23,373,862,10892,https://www.tvmaze.com/shows/10892/troe-iz-prostokvasino,Трое из Простоквашино,Animation,Russian,Running,7.0,15.0,1978-06-10,,https://okko.tv/serial/prostokvashino,7.3,57,,2022-04-30
24,187,330,11502,https://www.tvmaze.com/shows/11502/hver-gang-vi-motes,Hver gang vi møtes,Reality,Norwegian,Running,,54.0,2012-01-28,,https://play.tv2.no/programmer/underholdning/hver-gang-vi-moetes,,62,"7 artists spend eight days together at a farm outside the city of Moss, where each artist attempts to do their own version of another artists well-known songs, with each person getting an episode featuring all of their songs being performed by the other musicians.",2022-06-23
25,362,796,12906,https://www.tvmaze.com/shows/12906/huskestue,Huskestue,Game Show,Norwegian,Running,,43.0,2015-04-08,,https://play.tv2.no/programmer/underholdning/huskestue/,,77,"In Huskestue, two teams of medium-intelligent celebrities try to answer medium difficult questions. If the participants respond incorrectly, physical punishment often awaits.",2022-06-08
26,199,352,13168,https://www.tvmaze.com/shows/13168/helt-perfekt,Helt Perfekt,Scripted,Norwegian,Running,,23.0,2011-09-21,,https://discoveryplus.com/no/show/thomas-giertsen-helt-perfekt,,38,"In the villa on Oslo's best west side, Thomas and Ine continue to strive for a completely perfect life. Well-known Norwegians are constantly emerging in the role of more or less advantageous versions of themselves.",2022-03-06
27,140,224,13215,https://www.tvmaze.com/shows/13215/critical-role,Critical Role,Game Show,English,Running,240.0,211.0,2015-03-13,,https://critrole.com/shows/critical-role/,8.0,64,"Voice actor Matthew Mercer leads a group of fellow voice actors on epic Dungeons &amp; Dragons campaigns. These familiar voices bring the audience into the full experience of D&amp;D, allowing imaginations to soar as the characters embark on adventures. This is Critical Role!",2022-06-27
28,20,23,13381,https://www.tvmaze.com/shows/13381/honest-game-trailers,Honest Game Trailers,Variety,English,Running,5.0,5.0,2014-03-08,,https://www.youtube.com/playlist?list=PLHkNwtRZFo2g74tWgElcOO2T3WWbN7Aga,,50,Trailers that tell you the TRUTH about your favorite Video Games ! These are the hilarious trailers the game developers don't want you to see...,2022-06-22
29,21,24,13392,https://www.tvmaze.com/shows/13392/honest-trailers,Honest Trailers,Scripted,English,Running,,6.0,2012-02-13,,https://www.youtube.com/playlist?list=PL86F4D497FD3CACCE,,41,Trailers that tell you the TRUTH about your favorite movies and TV shows: Honest Trailers. These are the hilarious trailers the producers don't want you to see...,2022-06-22
30,573,2504,14055,https://www.tvmaze.com/shows/14055/letterkenny,Letterkenny,Scripted,English,Running,,24.0,2016-02-07,,https://www.crave.ca/tv-shows/letterkenny,8.2,96,"Wayne is a good-ol' country boy in Letterkenny, Ontario trying to protect his homegrown way of life on the farm, against a world that is constantly evolving around him. The residents of Letterkenny belong to one of three groups: Hicks, Skids, and Hockey Players. The three groups are constantly feuding with each other over seemingly trivial matters; often ending with someone getting their ass kicked.",2022-03-18
31,22,25,15250,https://www.tvmaze.com/shows/15250/the-young-turks,The Young Turks,News,English,Running,120.0,120.0,2013-12-24,,https://www.tytnetwork.com,,29,"A daring, funny, and brutally honest show that covers politics, entertainment, movies, sports, and pop culture.",2022-03-25
32,395,1003,16078,https://www.tvmaze.com/shows/16078/tin-star,Tin Star,Scripted,English,Ended,,58.0,2017-09-07,2020-12-10,https://www.sky.com/watch/channel/sky-atlantic/tin-star,7.1,95,"A contemporary take on the Western genre, Tin Star tells the story of Jim Worth, an ex-Metropolitan Police detective who starts a new life in Canada's Rocky Mountains.Set in a remote Canadian mountain town, where the opening of a new oil refinery fronted by the mysterious Mrs. Bradshaw introduces the small town to a world of drug-dealers, prostitution and organized crime. Police chief Jim Worth is thirsty for revenge after the murder of a member of his family.",2021-01-17
33,487,1731,16665,https://www.tvmaze.com/shows/16665/titan-fc,Titan FC,Sports,English,Running,,102.0,2006-03-11,,http://www.titanfighting.com,,17,"Titan Fighting Championship is an American mixed martial arts promotion based out of Pompano Beach, FL. Their shows were originally run in and near Kansas City and have since expanded to include venues all over North America and eventually, international locations.",2022-03-28
34,164,278,16753,https://www.tvmaze.com/shows/16753/wwe-main-event,WWE Main Event,Reality,English,Running,60.0,60.0,2012-10-03,,https://www.wwe.com/shows/wwemainevent,,33,WWE Main Event is a professional wrestling television program produced by WWE that originally aired on Ion Television in the United States and it originally aired on the WWE Network now airing on Hulu.,2022-05-08
35,174,306,17046,https://www.tvmaze.com/shows/17046/notruf-hafenkante,Notruf Hafenkante,Scripted,German,Running,45.0,50.0,2007-01-04,,https://www.zdf.de/serien/notruf-hafenkante,,4,,2022-02-20
36,480,1677,17078,https://www.tvmaze.com/shows/17078/the-grand-tour,The Grand Tour,Reality,English,Running,,64.0,2016-11-18,,https://www.amazon.co.uk/b?ie=UTF8&node=10257739031,8.2,98,"Jeremy Clarkson, Richard Hammond and James May are back with The Grand Tour. A show about adventure, excitement and friendship... as long as you accept that the people you call friends are also the ones you find extremely annoying. Sometimes it's even a show about cars. Follow them on their global adventure. ",2021-12-17
37,200,354,17356,https://www.tvmaze.com/shows/17356/the-star-wars-show,The Star Wars Show,Talk Show,English,Running,7.0,8.0,2016-05-11,,https://www.youtube.com/channel/UCZGYJFUizSax-yElQaFDp5Q,,54,"The only weekly 7(ish) minute look at Star Wars from inside Lucasfilm headquarters featuring news, behind-the-scenes features, special guests and more!",2021-01-03
38,453,1396,17447,https://www.tvmaze.com/shows/17447/curious-george,Curious George,Animation,English,Running,15.0,15.0,2006-09-04,,,,63,"George lives to find new things to discover, touch, spill, and chew. Everything is new to George and worth investigating. Of course, in George's hands - all four of them - investigation often leads to unintended consequences! Throughout George's adventures, he encounters and models basic concepts in each of the three content areas.",2022-03-19
39,343,671,17584,https://www.tvmaze.com/shows/17584/this-week-in-tech,This Week in Tech,News,English,Running,120.0,120.0,2005-04-17,,https://twit.tv/shows/this-week-in-tech,,26,Your first podcast of the week is the last word in tech. Join the top tech pundits in a roundtable discussion of the latest trends in high tech. Hosted by Leo Laporte and friends.,2022-03-23
40,61,90,17633,https://www.tvmaze.com/shows/17633/all-about-android,All About Android,News,English,Running,,90.0,2011-03-29,,https://twit.tv/shows/all-about-android,,30,"All About Android delivers everything you want to know about Android each week -- the biggest news, freshest hardware, best apps and geekiest how-to's -- with Android enthusiasts Jason Howell, Florence Ion, Ron Richards, and a variety of special guests along the way.",2022-05-28
41,354,703,17964,https://www.tvmaze.com/shows/17964/how-it-should-have-ended,How It Should Have Ended,Animation,English,Running,5.0,5.0,2007-03-09,,http://www.howitshouldhaveended.com/,,52,A look back at how things would have been if your favorite movies had ended just a little differently.,2022-06-19
42,309,588,18752,https://www.tvmaze.com/shows/18752/off-topic,Off Topic,Talk Show,English,Running,120.0,120.0,2015-12-06,,https://roosterteeth.com/series/off-topic-the-achievement-hunter-podcast,,29,The lads and lasses of Achievement Hunter congregate each week to discuss the important questions in life. Plus drink beer.,2021-09-09
43,344,672,18971,https://www.tvmaze.com/shows/18971/atop-the-fourth-wall,Atop the Fourth Wall,Variety,English,Running,25.0,25.0,2008-10-26,,http://www.atopthefourthwall.com,,27,"Atop the Fourth Wall is a comic book review show, hosted by Lewis ""Linkara"" Lovhaug. The show specializes in reviewing really bad comic books.",2022-05-31
44,201,355,19111,https://www.tvmaze.com/shows/19111/om-nom-stories,Om Nom Stories,Animation,English,Running,1.0,1.0,2011-09-12,,http://www.cuttherope.net/,,17,"The adventures of Om Nom, the cute little green monster from Cut the Rope.",2022-02-05
45,615,2963,19355,https://www.tvmaze.com/shows/19355/loudermilk,Loudermilk,Scripted,English,To Be Determined,,30.0,2017-10-17,,,6.8,87,"This series centers on Loudermilk who is a recovering alcoholic and substance-abuse counselor with an extremely bad attitude about everything. He is unapologetically uncensored and has managed to piss off everyone. Although he has his drinking under control, Loudermilk's life is one step forward and 12 steps backwards.",2021-10-05
46,581,2581,19628,https://www.tvmaze.com/shows/19628/top-10-po-versii-seasonvarru,ТОП-10 по версии Seasonvar.ru,Talk Show,Russian,Running,9.0,9.0,2015-11-27,,http://seasonvar.ru/serial-12772-TOP-10_po_versii_Seasonvarru-1-season.html,,51,,2022-06-02
47,271,531,19667,https://www.tvmaze.com/shows/19667/wwe-talking-smack,WWE Talking Smack,Talk Show,English,Running,30.0,30.0,2016-08-02,,http://www.wwe.com/shows/wwe-talking-smack,,51,"On WWE Talking Smack, Renee Young catches up with your favorite SmackDown Superstars after ""Smackdown Live"" airs on the USA Network to hear their thoughts on all of that evening's action.",2022-03-24
48,397,1014,20734,https://www.tvmaze.com/shows/20734/fox-spirit-matchmaker,Fox Spirit Matchmaker,Animation,Chinese,Running,10.0,10.0,2015-06-26,,http://www.bilibili.com/bangumi/%E7%8B%90%E5%A6%96%E5%B0%8F%E7%BA%A2%E5%A8%98/,,40,"Buy UCO from childhood grew up in the clan, Ichigo, but their ""care"" was for him a living Hell. Constant bullying, stealing the Goodies, without which Ycu can not live, and even eternal persecution, from the fair sex turned him into a goner cheapskate who wants to take revenge on his tormentors. But revenge is sweet and the path to it is thorny and to accomplish, UCU need to marry a girl Yes, as soon as possible. But when the heroes just happen? Never! And meeting with the small and the big-eared Fox Susan su su did not just destroy his plans, but starts spinning the wheel of fate that was waiting in the wings for hundreds of years!",2021-08-22
49,202,356,21035,https://www.tvmaze.com/shows/21035/talking-tom-and-friends,Talking Tom and Friends,Animation,English,Running,11.0,11.0,2014-12-04,,http://talkingtomandfriends.com/animated-series/,,59,"Talking Tom and Friends is an animated series where you meet and follow your favorite Talking characters: Tom, Ben, Angela, Ginger and Hank, on their adventures.",2021-12-28
50,23,26,21491,https://www.tvmaze.com/shows/21491/kurzgesagt-in-a-nutshell,Kurzgesagt – In a Nutshell,Documentary,English,Running,6.0,6.0,2013-07-11,,http://kurzgesagt.org/,,22,Videos explaining things with optimistic nihilism. A small team who want to make science look beautiful. Because it is beautiful.,2022-06-09
51,543,2211,21735,https://www.tvmaze.com/shows/21735/jerks,jerks.,Scripted,German,Running,23.0,24.0,2017-01-26,,https://www.joyn.de/serien/jerks,,41,"Abgründe des Privatlebens, das Scheitern in Serie - Christian Ulmen und Fahri Yardim kämpfen sich in jerks. von einer erschütternden Peinlichkeit in die nächste. jerks. erzählt das ganz normale Leben der beiden Filmstars. Aus kleinen Fehlern werden große Krisen, keine Minderheit, die nicht aus Versehen beleidigt wird. Direkt, schonungslos, manchmal unerträglich: Mit improvisierten Dialogen erzeugt jerks. den Eindruck einer Dokumentation, der der Zuschauer als peinlich berührter Zeuge beiwohnt.",2022-02-07
52,345,673,22473,https://www.tvmaze.com/shows/22473/raw-talk,RAW Talk,Talk Show,English,Running,30.0,30.0,2016-10-30,,https://watch.wwe.com/in-ring/Raw-Talk-1004,,28,"On RAW Talk, Renee Young catches up with your favorite WWE RAW Superstars after each episode of ""RAW"" airs on the USA Network to hear their thoughts on all of that evening's action.",2022-06-21
53,248,484,22536,https://www.tvmaze.com/shows/22536/205-live,205 Live,Sports,English,Ended,60.0,60.0,2016-11-29,2022-02-11,https://www.wwe.com/shows/wwe-205-live,,72,"WWE 205 Live, also simply called 205 Live, is a live professional wrestling WWE Network series produced by WWE, which exclusively features the promotion's cruiserweight division, wherein all participants are billed at a weight of 205 lbs. or less.The final episode of the series aired on February 11, 2022. On February 18, it was replaced by WWE NXT: Level Up.",2022-04-14
54,293,565,22893,https://www.tvmaze.com/shows/22893/0-z-majklom-surom,#@)₴?$0 з Майклом Щуром,News,Ukrainian,Running,30.0,30.0,2016-11-06,,http://1tv.com.ua/programs/maikl_shcur,8.2,76,Humorous and analytical show #@₴?$0 with Michael Schur proves that sometimes reality is impossible to joke. But the restless Michael Rat does the impossible and continues to work with a team of analysts to find the unnoticed in the important and the important in the unnoticed. Although sometimes he finds the completely unimportant in no one needs.,2022-05-26
55,413,1148,23401,https://www.tvmaze.com/shows/23401/mickey-mouse-mixed-up-adventures,Mickey Mouse: Mixed-Up Adventures,Animation,English,Running,15.0,17.0,2017-01-15,,https://disneynow.com/shows/mickey-mouse-mixed-up-adventures,,76,"Hot rod diggity dog! The animated Mickey and the Roadster Racers is a madcap car-racing adventure featuring Disney's No. 1 star, Mickey Mouse, and his pals Minnie, Pluto, Goofy, Daisy and Donald. The series takes the gang and their unique transforming vehicles on humorous high-spirited races around the globe as well as hometown capers in Hot Dog Hills. When Minnie and Daisy are not busy racing, they run their own successful business as the Happy Helpers, solving problems for anyone in need of a helping hand.",2021-06-30
56,118,187,24837,https://www.tvmaze.com/shows/24837/quan-zhi-gao-shou,Quan Zhi Gao Shou,Animation,Chinese,Ended,20.0,20.0,2017-04-06,2020-12-10,https://v.qq.com/detail/3/3r7bnv3gdykfdok.html,7.6,89,"In the multiplayer online game Glory, Ye Xiu is regarded as a textbook and a top-tier pro-player. However, due to a myriad of reasons, he is kicked from the team. After leaving the pro scene, he finds work in an Internet Cafe as a manager. When Glory launches its tenth server, he throws himself in to the game once more. Possessing ten years of experience, the memories of his past, and an incomplete, self-made weapon, his return along the road to the summit begins!",2020-12-05
57,78,115,24963,https://www.tvmaze.com/shows/24963/new-japan-pro-wrestling,New Japan Pro Wrestling,Sports,Japanese,Running,120.0,98.0,2015-01-04,,http://www.njpw1972.com/,,72,New Japan Pro Wrestling (NJPW) is the largest professional wrestling promotion in Japan and the second largest promotion in the world.,2022-06-25
58,272,532,25294,https://www.tvmaze.com/shows/25294/ufc-fight-pass-prelims,UFC Fight Pass Prelims,Sports,English,Running,60.0,74.0,2017-01-15,,https://www.ufc.tv/page/fightpass,,60,Televised undercard bouts from UFC Pay-Per-Views and UFC Fight Nights exclusively on UFC Fight Pass.,2022-03-06
59,444,1310,25910,https://www.tvmaze.com/shows/25910/hilda,Hilda,Animation,English,To Be Determined,24.0,24.0,2018-09-21,,https://www.netflix.com/title/80115346,8.0,69,"Hilda follows the adventures of a fearless blue-haired girl as she travels from her home in a vast magical wilderness full of elves and giants, to the bustling city of Trolberg, where she meets new friends and mysterious creatures who are stranger - and more dangerous - than she ever expected.",2022-05-10
60,13,16,26268,https://www.tvmaze.com/shows/26268/slepaa,Слепая,Scripted,Russian,Running,25.0,25.0,2014-08-18,,http://tv3.ru/project/slepaya,,11,,2022-03-15
61,235,450,26341,https://www.tvmaze.com/shows/26341/puppy-dog-pals,Puppy Dog Pals,Animation,English,Running,15.0,15.0,2017-04-14,,https://disneynow.com/shows/puppy-dog-pals,,72,"Puppy Dog Pals is about fun-loving pug puppies, brothers Bingo and Rolly, have thrill-seeking appetites that take them on exhilarating adventures in their neighborhood and around the globe. Whether helping their owner Bob or assisting a friend in need, the pugs' motto is that life is more exciting with your best friend by your side. Each episode features two 11-minute stories that showcase Bingo and Rolly's similarities and differences while demonstrating positive lessons about friendship, problem-solving, collaboration, creativity and adventure.",2022-05-28
62,389,975,26643,https://www.tvmaze.com/shows/26643/summer-camp-island,Summer Camp Island,Animation,English,To Be Determined,,11.0,2018-07-07,,https://play.hbomax.com/series/urn:hbo:series:GXkyDLAgeBY7CZgEAACHO,6.5,43,"Set in a world of anthropomorphic animals, Summer Camp Island follows two best friends Oscar, and Hedgehog, and Oscar who are dropped off at a surreal summer camp. The camp is a host to many odd occurrences such as: camp counselors who are composed of popular girls who know magic, horses that transform into unicorns, talking sharks, post-it notes that lead to other dimensions and nosy monsters that live under the bed. Oscar and Hedgehog must contend with these out of place events and make their stay at camp worthwhile.",2021-12-12
63,508,1900,26796,https://www.tvmaze.com/shows/26796/ravens-home,Raven's Home,Scripted,English,Running,30.0,29.0,2017-07-21,,https://disneynow.com/shows/ravens-home,4.3,97,"Raven's Home picks up with longtime best friends Raven and Chelsea, who are now each divorced with kids of their own, raising their children – Raven's 11-year-old twins Booker and Nia, and Chelsea's 9-year-old son Levi – under one roof, in a chaotic but fun household that often includes the twin's best friend and neighbor Tess. Unbeknownst to her kids, Raven still catches glimpses of the future, and unbeknownst to her, Booker has just learned he has these same abilities. Hilarity ensues as Raven and Booker's visions collide, but no matter the situation, they figure everything out together as one big happy family.",2022-06-19
64,82,122,27055,https://www.tvmaze.com/shows/27055/studio-paradise,Studio Paradise,Reality,Swedish,Running,,38.0,2013-11-20,,https://www.viafree.se/program/reality/studio-paradise,,4,A live after show of Paradise Hotel.,2021-03-24
65,83,123,28346,https://www.tvmaze.com/shows/28346/unhhhh,UNHhhh,Talk Show,English,Running,,10.0,2016-03-25,,https://www.wowpresentsplus.com/unhhhh,7.2,91,"RuPaul's Drag Race season 7 queens Katya Zamolodchikova and Trixie Mattel in UNHhhh. It's a show about nothing, and yet it's about everything.",2022-06-21
66,532,2120,28347,https://www.tvmaze.com/shows/28347/fashion-photo-ruview,Fashion Photo RuView,Talk Show,English,Running,,12.0,2014-02-26,,https://www.wowpresentsplus.com/fashion-photo-ruview,,64,RuPaul's Drag Race Fashion Photo RuView with Raja and Raven! The two RuPaul's Drag Race alums critique the runway looks from the RuPaul's Drag Race mainstage. Will they TOOT or BOOT the Queens looks from the runway? Watch now and find out!,2022-06-25
67,141,226,28381,https://www.tvmaze.com/shows/28381/cyanide-happiness-shorts,Cyanide & Happiness Shorts,Animation,English,Running,,2.0,2010-02-01,,https://www.youtube.com/playlist?list=PLA1F18BC2CFDB46FF,,34,"Cyanide and Happiness is a daily webcomic on explosm.net that was created by Rob DenBleyker, Kris Wilson, Dave McElfatrick and Matt Melvin back in 2005.<br /> ",2022-06-25
68,203,357,28757,https://www.tvmaze.com/shows/28757/big-mouth,Big Mouth,Animation,English,Running,,27.0,2017-09-29,,https://www.netflix.com/title/80117038,8.0,94,Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.,2022-05-10
